Precinct,Political Party,Count of Voters by Party
,INDEPENDENT,2
,OTHER,1
,GREEN,1
,Count of Voters in 5832:,133
5833,,
,NO PARTY,1
,DEMOCRATIC,80
,REPUBLICAN,45
,LIBERTARIAN,2
,NO AFFILIATION,12
,Count of Voters in 5833:,140
5834,,
,NO AFFILIATION,17
,DEMOCRATIC,193
,REPUBLICAN,73
,GREEN,1
,INDEPENDENT,2
,CONSTITUTIONAL,1
,Count of Voters in 5834:,287
5835,,
,NO PARTY,2
,NO AFFILIATION,18
,INDEPENDENT,3
,REPUBLICAN,138
,DEMOCRATIC,276
,Count of Voters in 5835:,437
5836,,
,INDEPENDENT,3
,REPUBLICAN,22
,NO AFFILIATION,7
,DEMOCRATIC,78
,Count of Voters in 5836:,110
5837,,
,DEMOCRATIC,186
,LIBERTARIAN,1
,NO AFFILIATION,16
,REPUBLICAN,58
,NO PARTY,1
,GREEN,1
,INDEPENDENT,4
,Count of Voters in 5837:,267
5838,,
,INDEPENDENT,3
,DEMOCRATIC,68
,REPUBLICAN,25
,NO AFFILIATION,15
,Count of Voters in 5838:,111
5839,,
,INDEPENDENT,1
,DEMOCRATIC,148
,REPUBLICAN,147
,NO AFFILIATION,16
,UNKNOWN,1
,LIBERTARIAN,1
,Count of Voters in 5839:,314
5840,,
,UNKNOWN,1
,NON-PARTISAN,1
,LIBERTARIAN,1
,NO AFFILIATION,9
,REPUBLICAN,39
,DEMOCRATIC,106
,INDEPENDENT,2
,Count of Voters in 5840:,159
5841,,
,NO PARTY,1
,INDEPENDENT,2
,NO AFFILIATION,20
,CONSTITUTIONAL,1
,NON-PARTISAN,1
,REPUBLICAN,203
,DEMOCRATIC,235
,Count of Voters in 5841:,463
5842,,
,INDEPENDENT,2
,NO AFFILIATION,14
,NON-PARTISAN,1
,DEMOCRATIC,123
,REPUBLICAN,60
,Count of Voters in 5842:,200
5843,,
,DEMOCRATIC,124
,INDEPENDENT,4
,LIBERTARIAN,2
,REPUBLICAN,57
,LIBERAL,1
,NO AFFILIATION,10
,Count of Voters in 5843:,198
5844,,
,OTHER,1
,GREEN,1
,NON-PARTISAN,1
,DEMOCRATIC,223
,NO AFFILIATION,18
,REPUBLICAN,50
,INDEPENDENT,3
,Count of Voters in 5844:,297
5901,,
,NO AFFILIATION,5
,REPUBLICAN,4
,DEMOCRATIC,213
,INDEPENDENT,2
,Count of Voters in 5901:,224
5902,,
,NO AFFILIATION,13
,NO PARTY,1
,REPUBLICAN,4
,INDEPENDENT,5
,DEMOCRATIC,277
,Count of Voters in 5902:,300
5903,,
,INDEPENDENT,2
,REPUBLICAN,8
,DEMOCRATIC,234
,NO AFFILIATION,10
,NO PARTY,2
,UNKNOWN,1
,Count of Voters in 5903:,257
5904,,
,DEMOCRATIC,384
,REPUBLICAN,6
,NO AFFILIATION,11
,Count of Voters in 5904:,401
5905,,
,NO AFFILIATION,6
,NO PARTY,2
,REPUBLICAN,8
,LIBERTARIAN,1
,UNKNOWN,1
,DEMOCRATIC,317
,INDEPENDENT,2
,INDEPENDENCE,1
,OTHER,1
,PEACE AND FREEDOM,1
,Count of Voters in 5905:,340
5906,,
,DEMOCRATIC,181
,INDEPENDENT,2
,REPUBLICAN,4
,NO PARTY,1
,NO AFFILIATION,2
,Count of Voters in 5906:,190
5907,,
,INDEPENDENT,1
,REPUBLICAN,4
,NO AFFILIATION,13
,DEMOCRATIC,173
,NON-PARTISAN,1
,NO PARTY,1
,Count of Voters in 5907:,193
5908,,
,DEMOCRATIC,228
,INDEPENDENT,3
,REPUBLICAN,6
,NO AFFILIATION,11
,Count of Voters in 5908:,248
5909,,
,DEMOCRATIC,197
,NO AFFILIATION,4
,NO PARTY,1
,Count of Voters in 5909:,202
5910,,
,LIBERTARIAN,2
,REPUBLICAN,12
,NO AFFILIATION,11
,DEMOCRATIC,393
,INDEPENDENT,2
,Count of Voters in 5910:,420
5911,,
,CONSUMER'S,1
,DEMOCRATIC,220
,NO AFFILIATION,7
,INDEPENDENT,2
,REPUBLICAN,5
,Count of Voters in 5911:,235
5912,,
,NO AFFILIATION,5
,NO PARTY,1
,REPUBLICAN,3
,DEMOCRATIC,221
,INDEPENDENCE,1
,Count of Voters in 5912:,231
5913,,
,NO AFFILIATION,5
,INDEPENDENT,1
,REPUBLICAN,7
,DEMOCRATIC,252
,Count of Voters in 5913:,265
5914,,
,REPUBLICAN,3
,DEMOCRATIC,161
,NO AFFILIATION,2
,Count of Voters in 5914:,166
5915,,
,DEMOCRATIC,176
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,10
,NO AFFILIATION,4
,Count of Voters in 5915:,192
5916,,
,NO PARTY,1
,REPUBLICAN,5
,DEMOCRATIC,201
,NO AFFILIATION,16
,Count of Voters in 5916:,223
5917,,
,NON-PARTISAN,1
,GREEN,2
,LIBERTARIAN,2
,DEMOCRATIC,340
,INDEPENDENCE,2
,INDEPENDENT,3
,REPUBLICAN,11
,SOCIALIST WORKERS,1
,NO AFFILIATION,18
,NO PARTY,2
,Count of Voters in 5917:,382
5918,,
,REPUBLICAN,6
,NO AFFILIATION,13
,DEMOCRATIC,247
,INDEPENDENT,1
,GREEN,1
,Count of Voters in 5918:,268
5919,,
,NO AFFILIATION,22
,REPUBLICAN,6
,BI-PARTISAN,1
,GREEN,2
,DEMOCRATIC,335
,NON-PARTISAN,1
,INDEPENDENT,5
,Count of Voters in 5919:,372
5920,,
,NO AFFILIATION,11
,DEMOCRATIC,39
,REPUBLICAN,5
,Count of Voters in 5920:,55
5921,,
,NO AFFILIATION,6
,NO PARTY,1
,REPUBLICAN,10
,INDEPENDENT,4
5921,,
,GREEN,3
,OTHER,1
,DEMOCRATIC,240
,Count of Voters in 5921:,265
5922,,
,GREEN,1
,DEMOCRATIC,253
,REPUBLICAN,8
,NO AFFILIATION    s,21
,NO PARTY,1
,SOCIALIST PARTY USA,1
,INDEPENDENT,2
,Count of Voters in 5922:,287
5923,,
,NO PARTY,2
,DEMOCRATIC,214
,INDEPENDENT,2
,REPUBLICAN,8
,NO AFFILIATION,8
,Count of Voters in 5923:,234
5924,,
,DEMOCRATIC,186
,GREEN,2
,NONE,1
,INDEPENDENT,2
,REPUBLICAN,5
,NO AFFILIATION,15
,Count of Voters in 5924:,211
5925,,
,LIBERTARIAN,1
,REPUBLICAN,10
,NO AFFILIATION,12
,NO PARTY,1
,INDEPENDENT,2
,DEMOCRATIC,243
,NON-PARTISAN,2
,Count of Voters in 5925:,271
6001,,
,NO PARTY,1
,NO AFFILIATION,7
,REPUBLICAN,7
,DEMOCRATIC,120
,Count of Voters in 6001:,135
6002,,
,GREEN,1
,NO PARTY,1
,DEMOCRATIC,233
,REPUBLICAN,5
,LIBERTARIAN,1
,NO AFFILIATION,9
,Count of Voters in 6002:,250
6003,,
,DEMOCRATIC,180
,REPUBLICAN,3
,NO AFFILIATION,9
,INDEPENDENT,1
,Count of Voters in 6003:,193
6004,,
,DEMOCRATIC,183
,REPUBLICAN,2
,NO AFFILIATION,4
,Count of Voters in 6004:,189
6005,,
,NO AFFILIATION,6
,REPUBLICAN,2
,DEMOCRATIC,224
,Count of Voters in 6005:,232
6006,,
,NO AFFILIATION,2
,REPUBLICAN,1
,DEMOCRATIC,197
,INDEPENDENT,1
,Count of Voters in 6006:,201
6007,,
,INDEPENDENT,1
,GREEN,1
,BI-PARTISAN,1
,DEMOCRATIC,219
,NO AFFILIATION,7
,REPUBLICAN,2
,Count of Voters in 6007:,231
6008,,
,DEMOCRATIC,146
,REPUBLICAN,4
,GREEN,1
,NON-PARTISAN,1
,UNKNOWN,1
,NO AFFILIATION,12
,Count of Voters in 6008:,165
6009,,
,NO PARTY,2
,DEMOCRATIC,330
,INDEPENDENT,2
,LIBERTARIAN,1
,REPUBLICAN,14
,NO AFFILIATION,14
,GREEN,1
,Count of Voters in 6009:,364
6010,,
,INDEPENDENT,1
,REPUBLICAN,2
,NO AFFILIATION,5
,DEMOCRATIC,193
,LIBERTARIAN,1
,Count of Voters in 6010:,202
6011,,
,NO AFFILIATION,7
,DEMOCRATIC,261
,REPUBLICAN,2
,INDEPENDENT,3
,Count of Voters in 6011:,273
6012,,
,NO AFFILIATION,7
,NO PARTY,1
,REPUBLICAN,7
,INDEPENDENT,1
,DEMOCRATIC,189
,NON-PARTISAN,1
,Count of Voters in 6012:,206
6013,,
,DEMOCRATIC,150
,GREEN,1
,OTHER,1
,NO AFFILIATION,3
,INDEPENDENT,1
,REPUBLICAN,8
,Count of Voters in 6013:,164
6014,,
,REPUBLICAN,1
,UNKNOWN,1
,NO AFFILIATION,2
,GREEN,1
,INDEPENDENCE,1
,DEMOCRATIC,233
,NON-PARTISAN,1
,Count of Voters in 6014:,240
6015,,
,NON-PARTISAN,1
,INDEPENDENT,2
,DEMOCRATIC,239
,REPUBLICAN,6
,NO AFFILIATION,4
,GREEN,1
,Count of Voters in 6015:,253
6016,,
,NO AFFILIATION,4
,REPUBLICAN,2
,DEMOCRATIC,213
,Count of Voters in 6016:,219
6017,,
,NO AFFILIATION,5
,NO PARTY,1
,DEMOCRATIC,266
,REPUBLICAN,4
,Count of Voters in 6017:,276
6018,,
,DEMOCRATIC,216
,REPUBLICAN,7
,NO AFFILIATION,7
,Count of Voters in 6018:,230
6019,,
,INDEPENDENT,4
,BIPARTISAN,1
,DEMOCRATIC,236
,REPUBLICAN,2
,NO AFFILIATION,9
,Count of Voters in 6019:,252
6020,,
,DEMOCRATIC,260
,LIBERTARIAN,1
,UNKNOWN,1
,INDEPENDENT,1
,REPUBLICAN,9
,NO AFFILIATION,4
,Count of Voters in 6020:,276
6021,,
,DEMOCRATIC,162
,REPUBLICAN,3
,INDEPENDENT,1
,NO AFFILIATION,6
,Count of Voters in 6021:,172
6022,,
,REPUBLICAN,2
,NO PARTY,1
,DEMOCRATIC,206
,NO AFFILIATION,5
,Count of Voters in 6022:,214
6023,,
,GREEN,1
,NO AFFILIATION,11
,INDEPENDENT,1
,REPUBLICAN,5
,DEMOCRATIC,177
,Count of Voters in 6023:,195
6101,,
,INDEPENDENT,2
,REPUBLICAN,7
,DEMOCRATIC,193
,LIBERTARIAN,1
,NO AFFILIATION,4
,Count of Voters in 6101:,207
6102,,
,DEMOCRATIC,232
,LIBERTARIAN,1
,NO AFFILIATION,9
,INDEPENDENT,1
,REPUBLICAN,7
,Count of Voters in 6102:,250
6103,,
,DEMOCRATIC,190
,REPUBLICAN,12
,INDEPENDENT,2
,NO AFFILIATION,6
,Count of Voters in 6103:,210
6104,,
,DEMOCRATIC,168
,REPUBLICAN,10
,NO PARTY,1
,INDEPENDENT,1
,NO AFFILIATION,12
,Count of Voters in 6104:,192
6105,,
,NO AFFILIATION,6
,INDEPENDENT,1
,NO PARTY,1
6105,,
,DEMOCRATIC,173
,REPUBLICAN,12
,Count of Voters in 6105:,193
6106,,
,NO PARTY,1
,REPUBLICAN,14
,DEMOCRATIC,419
,NO AFFILIATION,9
,GREEN,1
,INDEPENDENT,1
,OTHER,1
,Count of Voters in 6106:,446
6107,,
,NO AFFILIATION,6
,LIBERTARIAN,1
,REPUBLICAN,19
,NO PARTY,1
,DEMOCRATIC,269
,Count of Voters in 6107:,296
6108,,
,DEMOCRATIC,194
,NO AFFILIATION,12
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,16
,AMERICAN INDEPENDENT,1
,OTHER,1
,Count of Voters in 6108:,226
6109,,
,DEMOCRATIC,221
,REPUBLICAN,8
,NO PARTY,1
,INDEPENDENT,1
,NO AFFILIATION,9
,Count of Voters in 6109:,240
6110,GREEN,1
,NO AFFILIATION,14
,DEMOCRATIC,210
,NO PARTY,3
,REPUBLICAN,9
,UNKNOWN,1
,Count of Voters in 6110:,238
6111,,
,REPUBLICAN,7
,INDEPENDENT,2
,DEMOCRATIC,201
,NO AFFILIATION,3
,Count of Voters in 6111:,213
6112,,
,NO AFFILIATION,3
,DEMOCRATIC,180
,NO PARTY,1
,REPUBLICAN,2
,LIBERTARIAN,1
,Count of Voters in 6112:,187
6113,,
,DEMOCRATIC,219
,INDEPENDENT,2
,NO PARTY,1
,NO AFFILIATION,8
,REPUBLICAN,5
,Count of Voters in 6113:,235
6114,,
,OTHER,1
,LIBERTARIAN,1
,DEMOCRATIC,199
,REPUBLICAN,12
,NO AFFILIATION,10
,Count of Voters in 6114:,223
6115,,
,NO AFFILIATION,11
,REPUBLICAN,16
,DEMOCRATIC,196
6115,,
,LIBERTARIAN,1
,Count of Voters in 6115:,224
6116,,
,NO PARTY,1
,DEMOCRATIC,216
,REPUBLICAN,7
,NO AFFILIATION,12
,Count of Voters in 6116:,236
6117,,
,NO AFFILIATION,9
,REPUBLICAN,19
,INDEPENDENT,2
,DEMOCRATIC,206
,INDEPENDENCE,1
,Count of Voters in 6117:,237
6118,,
,NO PARTY,2
,REPUBLICAN,27
,INDEPENDENT,3
,DEMOCRATIC,234
,NO AFFILIATION,14
,LIBERTARIAN,1
,Count of Voters in 6118:,281
6119,,
,DEMOCRATIC,248
,CONSTITUTIONAL,1
,INDEPENDENT,2
,CONSUMER'S,1
,LIBERTARIAN,2
,REPUBLICAN,14
,NO AFFILIATION,8
,Count of Voters in 6119:,276
6120,,
,REPUBLICAN,2
,DEMOCRATIC,263
,UNKNOWN,1
,NO AFFILIATION,5
,Count of Voters in 6120:,271
6121,,
,NO AFFILIATION,8
,DEMOCRATIC,334
,INDEPENDENT,3
,NO PARTY,1
,REPUBLICAN,11
,Count of Voters in 6121:,357
6122,,
,REPUBLICAN,7
,DEMOCRATIC,194
,INDEPENDENT,2
,NO AFFILIATION,10
,NON-PARTISAN,1
,UNKNOWN,1
,Count of Voters in 6122:,215
6123,,
,DEMOCRATIC,273
,REPUBLICAN,18
,WHIG,1
,NO AFFILIATION,18
,CONSUMER'S,1
,INDEPENDENT,4
,Count of Voters in 6123:,315
6124,,
,GREEN,1
,DEMOCRATIC,159
,LIBERTARIAN,1
,NO AFFILIATION,7
,REPUBLICAN,10
,INDEPENDENT,2
,Count of Voters in 6124:,180
6125,,
,INDEPENDENT,2
,NO PARTY,2
6125,,
,LIBERTARIAN,1
,NO AFFILIATION,10
,REPUBLICAN,10
,DEMOCRATIC,278
,UNKNOWN,1
,Count of Voters in 6125:,304
6126,,
,DEMOCRATIC,251
,REPUBLICAN,18
,INDEPENDENT,1
,NO PARTY,1
,INDEPENDENCE,1
,LIBERTARIAN,1
,NO AFFILIATION,12
,Count of Voters in 6126:,285
6127,,
,INDEPENDENT,2
,NO PARTY,1
,DEMOCRATIC,283
,LIBERTARIAN,1
,NO AFFILIATION,9
,REPUBLICAN,3
,Count of Voters in 6127:,299
6128,,
,OTHER,1
,NO AFFILIATION,7
,UNKNOWN,1
,DEMOCRATIC,297
,INDEPENDENT,3
,NO PARTY,1
,REPUBLICAN,7
,Count of Voters in 6128:,317
6201,,
,NO AFFILIATION,8
,DEMOCRATIC,157
,LIBERTARIAN,2
,REPUBLICAN,19
,UNKNOWN,1
,Count of Voters in 6201:,187
6202,,
,INDEPENDENT,1
,REPUBLICAN,6
,DEMOCRATIC,135
,GREEN,1
,NO AFFILIATION,10
,Count of Voters in 6202:,153
6203,,
,DEMOCRATIC,112
,NO AFFILIATION,4
,UNKNOWN,1
,INDEPENDENT,3
,REPUBLICAN,16
,Count of Voters in 6203:,136
6204,,
,NO AFFILIATION,10
,DEMOCRATIC,187
,INDEPENDENT,2
,REPUBLICAN,18
,Count of Voters in 6204:,217
6205,,
,CONSTITUTION,1
,NO AFFILIATION,4
,REPUBLICAN,15
,DEMOCRATIC,130
,Count of Voters in 6205:,150
6206,,
,UNKNOWN,1
,DEMOCRATIC,157
,NO AFFILIATION,11
,INDEPENDENT,1
,REPUBLICAN,29
,Count of Voters in 6206:,199
6207,,
,INDEPENDENT,2
,OTHER,1
,REPUBLICAN,7
,NO AFFILIATION,5
,DEMOCRATIC,163
,Count of Voters in 6207:,178
6208,,
,DEMOCRATIC,227
,NO AFFILIATION,8
,INDEPENDENT,2
,REPUBLICAN,5
,NO PARTY,1
,Count of Voters in 6208:,243
6209,,
,DEMOCRATIC,103
,REPUBLICAN,11
,NO AFFILIATION,3
,Count of Voters in 6209:,117
6210,,
,NO AFFILIATION,5
,DEMOCRATIC,162
,CONSTITUTIONAL,1
,INDEPENDENT,2
,REPUBLICAN,7
,Count of Voters in 6210:,177
6211,,
,REPUBLICAN,14
,NO PARTY,1
,NON-PARTISAN,1
,DEMOCRATIC,234
,GREEN,1
,NO AFFILIATION,7
,Count of Voters in 6211:,258
6212,,
,REPUBLICAN,11
,DEMOCRATIC,161
,INDEPENDENT,2
6212,,
,NO AFFILIATION,3
,Count of Voters in 6212:,177
6213,,
,INDEPENDENT,2
,REPUBLICAN,19
,NON-PARTISAN,1
,DEMOCRATIC,194
,NO AFFILIATION,13
,Count of Voters in 6213:,229
6214,,
,OTHER,1
,REPUBLICAN,16
,LIBERTARIAN,1
,NO AFFILIATION,7
,DEMOCRATIC,248
,UNKNOWN:,1
,Count of Voters in 6214:,274
6215,,
,REPUBLICAN,27
,NO AFFILIATION,10
,DEMOCRATIC,199
,GREEN,1
,NO PARTY,1
,Count of Voters in 6215:,238
6216,,
,NO PARTY,2
,INDEPENDENT,2
,REPUBLICAN,22
,UNKNOWN,1
,NO AFFILIATION,6
,DEMOCRATIC,164
,Count of Voters in 6216:,197
6217,,
,DEMOCRATIC,180
,NO AFFILIATION,5
,INDEPENDENT,3
6217,,
,REPUBLICAN,25
,LIBERTARIAN,1
,Count of Voters in 6217:,214
6218,,
,INDEPENDENT,2
,REPUBLICAN,21
,NO AFFILIATION,7
,DEMOCRATIC,141
,Count of Voters in 6218:,171
6219,,
,NO AFFILIATION,3
,LIBERTARIAN,2
,DEMOCRATIC,116
,INDEPENDENT,1
,REPUBLICAN,28
,Count of Voters in 6219:,150
6220,,
,REPUBLICAN,16
,GREEN,1
,DEMOCRATIC,175
,INDEPENDENT,1
,NO AFFILIATION,7
,Count of Voters in 6220:,200
6221,,
,NO AFFILIATION,11
,AMERICAN,1
,INDEPENDENT,1
,DEMOCRATIC,106
,SOCIALIST,1
,GREEN,1
,REPUBLICAN,17
,Count of Voters in 6221:,138
6222,,
,INDEPENDENT,3
,REPUBLICAN,23
,NO AFFILIATION,3
,DEMOCRATIC,126
,LIBERTARIAN,1
,Count of Voters in 6222:,156
6223,,
,NO AFFILIATION,3
,DEMOCRATIC,89
,REPUBLICAN,23
,NON-PARTISAN,1
,Count of Voters in 6223:,116
6224,,
,DEMOCRATIC,104
,INDEPENDENT,3
,NO AFFILIATION,8
,REPUBLICAN,13
,Count of Voters in 6224:,128
6225,,
,INDEPENDENT,1
,NO AFFILIATION,13
,DEMOCRATIC,96
,REPUBLICAN,36
,Count of Voters in 6225:,146
6226,,
,DEMOCRATIC,138
,NO AFFILIATION,8
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,27
,Count of Voters in 6226:,175
6301,,
,INDEPENDENT,3
,REPUBLICAN,122
,DEMOCRATIC,165
,NON-PARTISAN,1
,LIBERTARIAN,1
,NO AFFILIATION,9
,Count of Voters in 6301:,301
6302,,
,INDEPENDENT,6
,NO AFFILIATION,14
,DEMOCRATIC,154
,REPUBLICAN,122
,NON-PARTISAN,2
,Count of Voters in 6302:,298
6303,,
,NO AFFILIATION,14
,DEMOCRATIC,168
,REPUBLICAN,149
,NON-PARTISAN,1
,Count of Voters in 6303:,332
6304,,
,REPUBLICAN,132
,INDEPENDENT,3
,NO PARTY,3
,DEMOCRATIC,164
,UNKNOWN,2
,GREEN,1
,LIBERTARIAN,2
,NO AFFILIATION,11
,Count of Voters in 6304:,318
6305,,
,DEMOCRATIC,163
,LIBERTARIAN,3
,NO AFFILIATION,11
,NONE,1
,GREEN,1
,REPUBLICAN,114
,Count of Voters in 6305:,293
6306,,
,INDEPENDENT,1
,NO PARTY,2
,LIBERTARIAN,1
,REPUBLICAN,96
,DEMOCRATIC,167
,NO AFFILIATION,12
,Count of Voters in 6306:,279
6307,,
,NO AFFILIATION,2
,REPUBLICAN,36
,INDEPENDENT,2
,DEMOCRATIC,98
,Count of Voters in 6307:,138
6308,,
,INDEPENDENT,3
,REPUBLICAN,112
,DEMOCRATIC,152
,NO AFFILIATION,16
,NO PARTY,1
,Count of Voters in 6308:,284
6309,,
,REPUBLICAN,125
,DEMOCRATIC,138
,NO AFFILIATION,15
,NON-PARTISAN,1
,INDEPENDENT,7
,OTHER,1
,Count of Voters in 6309:,287
6310,,
,DEMOCRATIC,178
,REPUBLICAN,157
,NO AFFILIATION,11
,INDEPENDENT,3
,Count of Voters in 6310:,349
6311,,
,INDEPENDENT,2
,NO AFFILIATION,14
,DEMOCRATIC,293
,REPUBLICAN,129
,UNKNOWN,1
,Count of Voters in 6311:,439
6312,,
,DEMOCRATIC,168
,NO AFFILIATION,13
,REPUBLICAN,106
,GREEN,1
,INDEPENDENT,3
,OTHER,1
,Count of Voters in 6312:,292
6313,,
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,108
,NO AFFILIATION,21
,DEMOCRATIC,196
,INDEPENDENCE,1
,Count of Voters in 6313:,328
6314,,
,NO PARTY,1
,NON-PARTISAN,1
,DEMOCRATIC,196
,REPUBLICAN,126
,NO AFFILIATION,10
,INDEPENDENT,4
,LIBERTARIAN,2
,Count of Voters in 6314:,340
6315,,
,LIBERTARIAN,1
,DEMOCRATIC,194
,NO AFFILIATION,20
,INDEPENDENT,4
,REPUBLICAN,93
,Count of Voters in 6315:,312
6316,,
,INDEPENDENT,3
,NO PARTY,1
,REPUBLICAN,99
,NO AFFILIATION,11
,DEMOCRATIC,96
,Count of Voters in 6316:,210
6317,,
,NO AFFILIATION,5
,DEMOCRATIC,84
,REPUBLICAN,108
,UNKNOWN,1
,LIBERTARIAN,1
,INDEPENDENT,2
,Count of Voters in 6317:,201
6318,,
,INDEPENDENT,1
,REPUBLICAN,136
,NO AFFILIATION,6
,DEMOCRATIC,161
,Count of Voters in 6318:,304
6319,,
,DEMOCRATIC,128
,NO AFFILIATION,12
,INDEPENDENT,5
,REPUBLICAN,107
,Count of Voters in 6319:,252
6320,,
,NO AFFILIATION,16
,INDEPENDENT,1
,DEMOCRATIC,145
,REPUBLICAN,111
,Count of Voters in 6320:,273
6321,,
,DEMOCRATIC,168
,LIBERTARIAN,2
,REPUBLICAN,69
,GREEN,1
,INDEPENDENT,2
,NO AFFILIATION,11
,Count of Voters in 6321:,253
6322,,
,INDEPENDENT,3
,REPUBLICAN,55
,DEMOCRATIC,182
,LIBERTARIAN,1
,NO AFFILIATION,9
,UNKNOWN,1
,Count of Voters in 6322:,251
6323,,
,DEMOCRATIC,307
,INDEPENDENT,1
,REPUBLICAN,143
,NO PARTY,1
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,1
,NO AFFILIATION,19
,NON-PARTISAN,1
,Count of Voters in 6323:,474
6324,,
,REPUBLICAN,73
,DEMOCRATIC,100
,NO AFFILIATION,15
,Count of Voters in 6324:,188
6325,,
,NO AFFILIATION,8
,DEMOCRATIC,123
,LIBERTARIAN,2
,REPUBLICAN,46
,Count of Voters in 6325:,179
6401,,
,NO PARTY,2
,REPUBLICAN,43
,DEMOCRATIC,131
,INDEPENDENT,3
,NO AFFILIATION,13
,LIBERTARIAN,1
,Count of Voters in 6401:,193
6402,,
,NO AFFILIATION,15
,DEMOCRATIC,163
,INDEPENDENT,5
,LIBERTARIAN,1
,REPUBLICAN,121
,Count of Voters in 6402:,305
6403,,
,NO PARTY,1
,REPUBLICAN,52
,DEMOCRATIC,116
,INDEPENDENT,1
,NO AFFILIATION,9
,NON-PARTISAN,1
,Count of Voters in 6403:,180
6404,,
,NO AFFILIATION,6
,DEMOCRATIC,127
,NO PARTY,1
,REPUBLICAN,77
,Count of Voters in 6404:,211
6405,,
,NO PARTY,2
,REPUBLICAN,97
,DEMOCRATIC,192
,INDEPENDENT,2
,NO AFFILIATION,12
,Count of Voters in 6405:,305
6406,,
,DEMOCRATIC,116
,REPUBLICAN,91
,UNKNOWN,1
,NO AFFILIATION,7
,INDEPENDENT,3
,Count of Voters in 6406:,218
6407,,
,DEMOCRATIC,137
,NO AFFILIATION,7
,REPUBLICAN,86
,INDEPENDENT,2
,Count of Voters in 6407:,232
6408,,
,DEMOCRATIC,114
,INDEPENDENT,4
,REPUBLICAN,88
,NO AFFILIATION,9
,LIBERTARIAN,1
,Count of Voters in 6408:,216
6409,,
,INDEPENDENT,1
,DEMOCRATIC,81
,LIBERTARIAN,1
,NO AFFILIATION,8
,REPUBLICAN,49
,Count of Voters in 6409:,140
6410,,
,DEMOCRATIC,97
,REPUBLICAN,73
,INDEPENDENCE,1
,NO AFFILIATION,5
,Count of Voters in 6410:,176
6411,,
,DEMOCRATIC,88
,LIBERTARIAN,1
,NO AFFILIATION,5
,REPUBLICAN,99
,INDEPENDENT,1
,Count of Voters in 6411:,194
6412,,
,NO PARTY,1
,INDEPENDENT,3
,NO AFFILIATION,5
,REPUBLICAN,40
,DEMOCRATIC,65
,Count of Voters in 6412:,114
6413,,
,DEMOCRATIC,108
,LIBERTARIAN,1
,NO AFFILIATION,9
,REPUBLICAN,111
,Count of Voters in 6413:,229
6414,,
,NO AFFILIATION,3
,REPUBLICAN,71
,DEMOCRATIC,92
,INDEPENDENT,1
,Count of Voters in 6414:,167
6415,,
,INDEPENDENT,2
,NON-PARTISAN,1
,DEMOCRATIC,160
,NO AFFILIATION,7
,REPUBLICAN,61
,Count of Voters in 6415:,231
6416,,
,NO PARTY,1
,REPUBLICAN,79
,DEMOCRATIC,141
,INDEPENDENT,1
,NO AFFILIATION,8
,Count of Voters in 6416:,230
6417,,
,REPUBLICAN,70
,DEMOCRATIC,102
,NO AFFILIATION,4
,NO PARTY,1
,Count of Voters in 6417:,177
6418,,
,GREEN,1
,INDEPENDENT,5
,DEMOCRATIC,176
,NO AFFILIATION,13
6418,,
,REPUBLICAN,143
,Count of Voters in 6418:,338
6501,,
,CONSERVATIVE,1
,REPUBLICAN,114
,DEMOCRATIC,224
,LIBERTARIAN,1
,NO PARTY,1
,INDEPENDENT,3
,NO AFFILIATION,14
,Count of Voters in 6501:,358
6502,,
,NO AFFILIATION,12
,LIBERTARIAN,2
,BIRTHDAY,1
,REPUBLICAN,90
,DEMOCRATIC,209
,INDEPENDENT,5
,Count of Voters in 6502:,319
6503,,
,LIBERTARIAN,1
,NO AFFILIATION,7
,REPUBLICAN,30
,INDEPENDENT,4
,DEMOCRATIC,111
,Count of Voters in 6503:,153
6504,,
,UNKNOWN,1
,INDEPENDENT,5
,OTHER,1
,NO AFFILIATION,13
,REPUBLICAN,75
,DEMOCRATIC,347
,LIBERTARIAN,1
,Count of Voters in 6504:,443
6505,,
,DEMOCRATIC,97
,NO AFFILIATION,7
,REPUBLICAN,29
,Count of Voters in 6505:,133
6506,,
,INDEPENDENT,1
,DEMOCRATIC,64
,NO AFFILIATION,3
,REPUBLICAN,16
,Count of Voters in 6506:,84
6507,,
,LIBERTARIAN,2
,NO AFFILIATION,26
,INDEPENDENT,4
,DEMOCRATIC,295
,REPUBLICAN,126
,Count of Voters in 6507:,453
6508,,
,INDEPENDENT,1
,COMMUNIST,1
,DEMOCRATIC,108
,REPUBLICAN,36
,UNKNOWN,1
,NO AFFILIATION,4
,Count of Voters in 6508:,151
6509,,
,REPUBLICAN,68
,DEMOCRATIC,181
,NO PARTY,1
,INDEPENDENT,4
,OTHER,2
,NO AFFILIATION,12
,Count of Voters in 6509:,268
6510,,
,LIBERTARIAN,1
,REPUBLICAN,143
,NO AFFILIATION,11
6510,,
,INDEPENDENT,4
,INDEPENDENCE,1
,UNAFFILIATED,1
,DEMOCRATIC,175
,Count of Voters in 6510:,336
6511,,
,REPUBLICAN,34
